Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,7,3.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,23,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,27,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,6,30,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,5,14.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,7,5.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,9,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,12,12.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,17,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,20,13.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,23,3.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,25,27.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,27,24.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,28,6.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,30,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,7,31,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,3,7.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,5,2.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,6,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,7,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,8,6.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,9,11.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,11,50.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,12,5.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,13,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,14,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,15,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,16,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,17,6.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,18,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,19,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,21,68.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,23,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,25,64.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,27,60.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,28,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,29,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,30,0.00
